Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 30.272186, Training Accuracy= 0.07000
Iter 2000, Minibatch Loss= 21.595352, Training Accuracy= 0.11000
Iter 3000, Minibatch Loss= 14.939257, Training Accuracy= 0.14000
Iter 4000, Minibatch Loss= 11.018435, Training Accuracy= 0.09000
Iter 5000, Minibatch Loss= 9.995650, Training Accuracy= 0.16000
Iter 6000, Minibatch Loss= 7.664688, Training Accuracy= 0.11000
Iter 7000, Minibatch Loss= 6.094252, Training Accuracy= 0.08000
Iter 8000, Minibatch Loss= 3.622523, Training Accuracy= 0.18000
Iter 9000, Minibatch Loss= 3.464893, Training Accuracy= 0.08000
Iter 10000, Minibatch Loss= 3.130827, Training Accuracy= 0.07000
Iter 11000, Minibatch Loss= 2.447997, Training Accuracy= 0.11000
Iter 12000, Minibatch Loss= 2.537786, Training Accuracy= 0.11000
Iter 13000, Minibatch Loss= 2.461981, Training Accuracy= 0.10000
Iter 14000, Minibatch Loss= 2.642273, Training Accuracy= 0.11000
Iter 15000, Minibatch Loss= 2.970137, Training Accuracy= 0.10000
Iter 16000, Minibatch Loss= 2.562159, Training Accuracy= 0.12000
Iter 17000, Minibatch Loss= 2.788068, Training Accuracy= 0.11000
Iter 18000, Minibatch Loss= 3.301831, Training Accuracy= 0.10000
Iter 19000, Minibatch Loss= 5.787012, Training Accuracy= 0.05000
Iter 20000, Minibatch Loss= 8.900402, Training Accuracy= 0.18000
Iter 21000, Minibatch Loss= 12.059702, Training Accuracy= 0.13000
Iter 22000, Minibatch Loss= 11.728083, Training Accuracy= 0.15000
Iter 23000, Minibatch Loss= 13.763156, Training Accuracy= 0.10000
Iter 24000, Minibatch Loss= 16.582232, Training Accuracy= 0.12000
Iter 25000, Minibatch Loss= 9.309322, Training Accuracy= 0.14000
Iter 26000, Minibatch Loss= 12.986746, Training Accuracy= 0.13000
Iter 27000, Minibatch Loss= 9.164487, Training Accuracy= 0.08000
