Script started on Sun 26 Nov 2017 07:28:52 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ exit[Kpy autoencoder.py 
2017-11-26 19:29:11.036617: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 19:29:11.127298: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 19:29:11.127532: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.06GiB
2017-11-26 19:29:11.127543: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46796.5547 | Layer 1 | Epoch 1  |
|            30 |    44795.3242 | Layer 1 | Epoch 1  |
|            60 |    43791.9766 | Layer 1 | Epoch 1  |
|            90 |    42551.1055 | Layer 1 | Epoch 2  |
|           120 |    42106.2305 | Layer 1 | Epoch 2  |
|           150 |    41658.8164 | Layer 1 | Epoch 3  |
|           180 |    41277.6289 | Layer 1 | Epoch 3  |
|           210 |    41555.8984 | Layer 1 | Epoch 4  |
|           240 |    39544.0312 | Layer 1 | Epoch 4  |
|           270 |    41450.6875 | Layer 1 | Epoch 5  |
|           300 |    40747.6406 | Layer 1 | Epoch 5  |
|           330 |    40863.2617 | Layer 1 | Epoch 6  |
|           360 |    38850.7383 | Layer 1 | Epoch 6  |
|           390 |    40160.5195 | Layer 1 | Epoch 7  |
|           420 |    37964.6289 | Layer 1 | Epoch 7  |
|           450 |    39452.4375 | Layer 1 | Epoch 8  |
|           480 |    39070.3516 | Layer 1 | Epoch 8  |
|           510 |    38570.3516 | Layer 1 | Epoch 9  |
|           540 |    39877.8398 | Layer 1 | Epoch 9  |
|           570 |    38236.1250 | Layer 1 | Epoch 10  |
|           600 |    37484.1562 | Layer 1 | Epoch 10  |
|           630 |    38652.9258 | Layer 1 | Epoch 11  |
|           660 |    38117.6836 | Layer 1 | Epoch 11  |
|           690 |    38279.1172 | Layer 1 | Epoch 12  |
|           720 |    37879.9922 | Layer 1 | Epoch 12  |
|           750 |    38692.9180 | Layer 1 | Epoch 13  |
|           780 |    38076.1797 | Layer 1 | Epoch 13  |
|           810 |    38727.2109 | Layer 1 | Epoch 14  |
|           840 |    38772.2695 | Layer 1 | Epoch 14  |
