Script started on Sun 26 Nov 2017 06:46:48 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ pt [K[Ky autoencoder.py 
2017-11-26 18:46:53.448634: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 18:46:53.539410: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 18:46:53.539639: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.10GiB
2017-11-26 18:46:53.539651: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46733.8711 | Layer 1 | Epoch 1  |
|            30 |    45193.3516 | Layer 1 | Epoch 1  |
|            60 |    44425.9414 | Layer 1 | Epoch 1  |
|            90 |    44621.0430 | Layer 1 | Epoch 2  |
|           120 |    42930.7422 | Layer 1 | Epoch 2  |
|           150 |    43778.9180 | Layer 1 | Epoch 3  |
|           180 |    42651.6797 | Layer 1 | Epoch 3  |
|           210 |    42001.6875 | Layer 1 | Epoch 4  |
|           240 |    43107.5547 | Layer 1 | Epoch 4  |
|           270 |    43530.0781 | Layer 1 | Epoch 5  |
|           300 |    42687.8008 | Layer 1 | Epoch 5  |
|           330 |    41092.5391 | Layer 1 | Epoch 6  |
|           360 |    41886.8867 | Layer 1 | Epoch 6  |
|           390 |    41936.4883 | Layer 1 | Epoch 7  |
|           420 |    41596.3359 | Layer 1 | Epoch 7  |
|           450 |    42091.8750 | Layer 1 | Epoch 8  |
|           480 |    41917.7266 | Layer 1 | Epoch 8  |
|           510 |    41611.4492 | Layer 1 | Epoch 9  |
|           540 |    42508.5312 | Layer 1 | Epoch 9  |
|           570 |    41775.3750 | Layer 1 | Epoch 10  |
|           600 |    40742.0195 | Layer 1 | Epoch 10  |
|           630 |    41255.6250 | Layer 1 | Epoch 11  |
|           660 |    40297.5820 | Layer 1 | Epoch 11  |
|           690 |    41396.9922 | Layer 1 | Epoch 12  |
|           720 |    40938.9180 | Layer 1 | Epoch 12  |
|           750 |    41168.4062 | Layer 1 | Epoch 13  |
|           780 |    42169.7109 | Layer 1 | Epoch 13  |
|           810 |    42140.8906 | Layer 1 | Epoch 14  |
|           840 |    41074.8047 | Layer 1 | Epoch 14  |
|           870 |    39022.5234 | Layer 1 | Epoch 15  |
|           900 |    39921.7539 | Layer 1 | Epoch 15  |
|           930 |    41821.3945 | Layer 1 | Epoch 16  |
|           960 |    40146.2227 | Layer 1 | Epoch 16  |
