Script started on Sun 26 Nov 2017 05:19:10 PM EST
]0;alex@alex-obsidubuntu: ~[01;32malex@alex-obsidubuntu[00m:[01;34m~[00m$ poy[K[Ky au[K[K[K[K[Kcd ~/git/MSCS692/shah--3[K[K[K-3[K03/files/e[Kae/au[K[K
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ py autoencoder.py 
2017-11-26 17:19:44.819671: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 17:19:44.910911: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 17:19:44.911140: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.32GiB
2017-11-26 17:19:44.911151: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46769.4922 | Layer 1 | Epoch 1  |
|            30 |    42795.3984 | Layer 1 | Epoch 1  |
|            60 |    43112.8750 | Layer 1 | Epoch 1  |
|            90 |    44362.3516 | Layer 1 | Epoch 2  |
|           120 |    44620.8398 | Layer 1 | Epoch 2  |
|           150 |    42999.0195 | Layer 1 | Epoch 3  |
|           180 |    42118.9844 | Layer 1 | Epoch 3  |
|           210 |    40597.8008 | Layer 1 | Epoch 4  |
|           240 |    43128.2227 | Layer 1 | Epoch 4  |
|           270 |    42638.0078 | Layer 1 | Epoch 5  |
|           300 |    42071.7422 | Layer 1 | Epoch 5  |
|           330 |    42328.6172 | Layer 1 | Epoch 6  |
|           360 |    43657.7305 | Layer 1 | Epoch 6  |
|           390 |    41741.0938 | Layer 1 | Epoch 7  |
|           420 |    41548.7383 | Layer 1 | Epoch 7  |
|           450 |    42944.1797 | Layer 1 | Epoch 8  |
|           480 |    40616.5469 | Layer 1 | Epoch 8  |
|           510 |    41060.0391 | Layer 1 | Epoch 9  |
|           540 |    42588.5703 | Layer 1 | Epoch 9  |
|           570 |    42479.5703 | Layer 1 | Epoch 10  |
|           600 |    43609.9766 | Layer 1 | Epoch 10  |
|           630 |    43428.4727 | Layer 1 | Epoch 11  |
|           660 |    42619.1641 | Layer 1 | Epoch 11  |
|           690 |    42303.4180 | Layer 1 | Epoch 12  |
|           720 |    41227.6484 | Layer 1 | Epoch 12  |
|           750 |    40939.7070 | Layer 1 | Epoch 13  |
|           780 |    41720.5234 | Layer 1 | Epoch 13  |
|           810 |    42038.3672 | Layer 1 | Epoch 14  |
|           840 |    42100.0117 | Layer 1 | Epoch 14  |
|           870 |    43060.6523 | Layer 1 | Epoch 15  |
|           900 |    41084.4414 | Layer 1 | Epoch 15  |
|           930 |    39102.3242 | Layer 1 | Epoch 16  |
|           960 |    42367.9648 | Layer 1 | Epoch 16  |
|           990 |    40812.7109 | Layer 1 | Epoch 17  |
|          1020 |    40313.8750 | Layer 1 | Epoch 17  |
|          1050 |    44542.6367 | Layer 1 | Epoch 18  |
|          1080 |    41558.9727 | Layer 1 | Epoch 18  |
|          1110 |    41489.1797 | Layer 1 | Epoch 19  |
|          1140 |    41125.2031 | Layer 1 | Epoch 19  |
|          1170 |    43956.0117 | Layer 1 | Epoch 20  |
|          1200 |    45325.5039 | Layer 1 | Epoch 20  |
|          1230 |    42968.1172 | Layer 1 | Epoch 21  |
|          1260 |    42799.3750 | Layer 1 | Epoch 21  |
|          1290 |    45130.6680 | Layer 1 | Epoch 22  |
|          1320 |    41490.7930 | Layer 1 | Epoch 22  |
|          1350 |    43560.1992 | Layer 1 | Epoch 23  |
|          1380 |    43219.3594 | Layer 1 | Epoch 23  |
|          1410 |    42958.7266 | Layer 1 | Epoch 24  |
|          1440 |    43104.2188 | Layer 1 | Epoch 24  |
|          1470 |    42893.4414 | Layer 1 | Epoch 25  |
|          1500 |    41608.7422 | Layer 1 | Epoch 25  |
|          1530 |    44568.2930 | Layer 1 | Epoch 26  |
|          1560 |    42571.7969 | Layer 1 | Epoch 26  |
|          1590 |    42554.4102 | Layer 1 | Epoch 27  |
|          1620 |    42008.3750 | Layer 1 | Epoch 27  |
|          1650 |    43631.0859 | Layer 1 | Epoch 28  |
|          1680 |    41021.7656 | Layer 1 | Epoch 28  |
|          1710 |    43245.5820 | Layer 1 | Epoch 29  |
|          1740 |    41508.2891 | Layer 1 | Epoch 29  |
|          1770 |    40699.6484 | Layer 1 | Epoch 30  |
|          1800 |    41080.0273 | Layer 1 | Epoch 30  |
|          1830 |    41632.6328 | Layer 1 | Epoch 31  |
|          1860 |    43019.8750 | Layer 1 | Epoch 31  |
|          1890 |    42869.6250 | Layer 1 | Epoch 31  |
|          1920 |    42700.2578 | Layer 1 | Epoch 32  |
|          1950 |    43198.0078 | Layer 1 | Epoch 32  |
|          1980 |    42038.7617 | Layer 1 | Epoch 33  |
|          2010 |    41781.6680 | Layer 1 | Epoch 33  |
|          2040 |    43369.3750 | Layer 1 | Epoch 34  |
|          2070 |    43296.7695 | Layer 1 | Epoch 34  |
|          2100 |    40089.6016 | Layer 1 | Epoch 35  |
|          2130 |    42240.5859 | Layer 1 | Epoch 35  |
|          2160 |    42537.6758 | Layer 1 | Epoch 36  |
|          2190 |    42926.5312 | Layer 1 | Epoch 36  |
|          2220 |    44527.6562 | Layer 1 | Epoch 37  |
|          2250 |    41525.3945 | Layer 1 | Epoch 37  |
|          2280 |    41885.6797 | Layer 1 | Epoch 38  |
^[|          2310 |    44816.5977 | Layer 1 | Epoch 38  |
|          2340 |    41682.3125 | Layer 1 | Epoch 39  |
|          2370 |    43738.5703 | Layer 1 | Epoch 39  |
|          2400 |    44350.6992 | Layer 1 | Epoch 40  |
|          2430 |    44053.4219 | Layer 1 | Epoch 40  |
|          2460 |    43077.3828 | Layer 1 | Epoch 41  |
|          2490 |    42554.0312 | Layer 1 | Epoch 41  |
|          2520 |    43417.7070 | Layer 1 | Epoch 42  |
|          2550 |    43855.9453 | Layer 1 | Epoch 42  |
|          2580 |    42306.0352 | Layer 1 | Epoch 43  |
|          2610 |    40620.6016 | Layer 1 | Epoch 43  |
|          2640 |    45089.5000 | Layer 1 | Epoch 44  |
|          2670 |    41660.0234 | Layer 1 | Epoch 44  |
|          2700 |    41521.3633 | Layer 1 | Epoch 45  |
|          2730 |    42335.8438 | Layer 1 | Epoch 45  |
|          2760 |    44385.2734 | Layer 1 | Epoch 46  |
|          2790 |    45213.7188 | Layer 1 | Epoch 46  |
|          2820 |    41924.1758 | Layer 1 | Epoch 47  |
|          2850 |    43480.4766 | Layer 1 | Epoch 47  |
|          2880 |    42732.3359 | Layer 1 | Epoch 48  |
|          2910 |    42354.2656 | Layer 1 | Epoch 48  |
|          2940 |    43485.3008 | Layer 1 | Epoch 49  |
|          2970 |    42620.3672 | Layer 1 | Epoch 49  |
|          3000 |    41274.3359 | Layer 1 | Epoch 50  |
|          3030 |    43923.7500 | Layer 1 | Epoch 50  |
|          3060 |    42024.7188 | Layer 1 | Epoch 51  |
|          3090 |    44053.4023 | Layer 1 | Epoch 51  |
|          3120 |    42090.7266 | Layer 1 | Epoch 52  |
|          3150 |    43915.1953 | Layer 1 | Epoch 52  |
|          3180 |    43278.3867 | Layer 1 | Epoch 53  |
|          3210 |    42439.8438 | Layer 1 | Epoch 53  |
|          3240 |    40491.2656 | Layer 1 | Epoch 54  |
|          3270 |    43462.6992 | Layer 1 | Epoch 54  |
|          3300 |    44547.0234 | Layer 1 | Epoch 55  |
|          3330 |    44096.4258 | Layer 1 | Epoch 55  |
|          3360 |    44080.8359 | Layer 1 | Epoch 56  |
|          3390 |    44710.5625 | Layer 1 | Epoch 56  |
|          3420 |    43200.0898 | Layer 1 | Epoch 57  |
|          3450 |    42975.6680 | Layer 1 | Epoch 57  |
|          3480 |    44065.8984 | Layer 1 | Epoch 58  |
|          3510 |    44926.4219 | Layer 1 | Epoch 58  |
|          3540 |    42593.5938 | Layer 1 | Epoch 59  |
|          3570 |    42416.2578 | Layer 1 | Epoch 59  |
|          3600 |    41911.4297 | Layer 1 | Epoch 60  |
|          3630 |    42042.2773 | Layer 1 | Epoch 60  |
|          3660 |    43351.3828 | Layer 1 | Epoch 61  |
|          3690 |    43177.6758 | Layer 1 | Epoch 61  |
|          3720 |    42010.3164 | Layer 1 | Epoch 61  |
|          3750 |    44675.2617 | Layer 1 | Epoch 62  |
|          3780 |    44818.8047 | Layer 1 | Epoch 62  |
|          3810 |    43970.9180 | Layer 1 | Epoch 63  |
|          3840 |    43023.8555 | Layer 1 | Epoch 63  |
|          3870 |    43674.4805 | Layer 1 | Epoch 64  |
|          3900 |    44085.7891 | Layer 1 | Epoch 64  |
|          3930 |    43972.2109 | Layer 1 | Epoch 65  |
|          3960 |    44964.3555 | Layer 1 | Epoch 65  |
|          3990 |    42794.4727 | Layer 1 | Epoch 66  |
|          4020 |    44741.5469 | Layer 1 | Epoch 66  |
|          4050 |    44478.1836 | Layer 1 | Epoch 67  |
|          4080 |    44688.0977 | Layer 1 | Epoch 67  |
|          4110 |    43156.1094 | Layer 1 | Epoch 68  |
|          4140 |    43345.5078 | Layer 1 | Epoch 68  |
|          4170 |    43994.4453 | Layer 1 | Epoch 69  |
|          4200 |    42130.9766 | Layer 1 | Epoch 69  |
|          4230 |    42274.7422 | Layer 1 | Epoch 70  |
|          4260 |    43147.2930 | Layer 1 | Epoch 70  |
|          4290 |    43869.3203 | Layer 1 | Epoch 71  |
|          4320 |    40645.0469 | Layer 1 | Epoch 71  |
|          4350 |    43895.1172 | Layer 1 | Epoch 72  |
|          4380 |    41067.5859 | Layer 1 | Epoch 72  |
|          4410 |    44154.0742 | Layer 1 | Epoch 73  |
|          4440 |    41293.6094 | Layer 1 | Epoch 73  |
|          4470 |    43297.0391 | Layer 1 | Epoch 74  |
|          4500 |    44144.6758 | Layer 1 | Epoch 74  |
|          4530 |    42054.3516 | Layer 1 | Epoch 75  |
|          4560 |    44479.3984 | Layer 1 | Epoch 75  |
|          4590 |    44715.7734 | Layer 1 | Epoch 76  |
|          4620 |    43578.1797 | Layer 1 | Epoch 76  |
|          4650 |    44226.2500 | Layer 1 | Epoch 77  |
|          4680 |    43011.3516 | Layer 1 | Epoch 77  |
|          4710 |    44328.4492 | Layer 1 | Epoch 78  |
|          4740 |    42738.4883 | Layer 1 | Epoch 78  |
|          4770 |    42462.5352 | Layer 1 | Epoch 79  |
|          4800 |    44536.3516 | Layer 1 | Epoch 79  |
|          4830 |    43411.4961 | Layer 1 | Epoch 80  |
|          4860 |    44222.1758 | Layer 1 | Epoch 80  |
|          4890 |    44186.2734 | Layer 1 | Epoch 81  |
|          4920 |    40592.4180 | Layer 1 | Epoch 81  |
|          4950 |    44199.1016 | Layer 1 | Epoch 82  |
|          4980 |    42064.6016 | Layer 1 | Epoch 82  |
|          5010 |    44644.7734 | Layer 1 | Epoch 83  |
|          5040 |    42730.1367 | Layer 1 | Epoch 83  |
|          5070 |    41252.7305 | Layer 1 | Epoch 84  |
|          5100 |    44291.6328 | Layer 1 | Epoch 84  |
|          5130 |    43964.1680 | Layer 1 | Epoch 85  |
|          5160 |    43693.5508 | Layer 1 | Epoch 85  |
|          5190 |    42904.8359 | Layer 1 | Epoch 86  |
|          5220 |    43375.7305 | Layer 1 | Epoch 86  |
|          5250 |    44251.3320 | Layer 1 | Epoch 87  |
|          5280 |    44489.4414 | Layer 1 | Epoch 87  |
|          5310 |    42771.1641 | Layer 1 | Epoch 88  |
|          5340 |    43494.6484 | Layer 1 | Epoch 88  |
|          5370 |    42325.2422 | Layer 1 | Epoch 89  |
|          5400 |    44571.8750 | Layer 1 | Epoch 89  |
|          5430 |    43523.6445 | Layer 1 | Epoch 90  |
|          5460 |    41309.4141 | Layer 1 | Epoch 90  |
|          5490 |    44019.6992 | Layer 1 | Epoch 91  |
|          5520 |    42714.3047 | Layer 1 | Epoch 91  |
|          5550 |    44982.0508 | Layer 1 | Epoch 91  |
|          5580 |    43585.3203 | Layer 1 | Epoch 92  |
|          5610 |    42788.0820 | Layer 1 | Epoch 92  |
|          5640 |    43458.6172 | Layer 1 | Epoch 93  |
|          5670 |    42257.5625 | Layer 1 | Epoch 93  |
|          5700 |    42720.8320 | Layer 1 | Epoch 94  |
|          5730 |    42658.6211 | Layer 1 | Epoch 94  |
|          5760 |    44101.4062 | Layer 1 | Epoch 95  |
|          5790 |    43454.6758 | Layer 1 | Epoch 95  |
|          5820 |    43315.9336 | Layer 1 | Epoch 96  |
|          5850 |    44965.6328 | Layer 1 | Epoch 96  |
|          5880 |    43805.5000 | Layer 1 | Epoch 97  |
|          5910 |    43883.2070 | Layer 1 | Epoch 97  |
|          5940 |    45409.5391 | Layer 1 | Epoch 98  |
|          5970 |    43969.7383 | Layer 1 | Epoch 98  |
|          6000 |    42361.3242 | Layer 1 | Epoch 99  |
|          6030 |    44978.7578 | Layer 1 | Epoch 99  |
|          6060 |    42815.1250 | Layer 1 | Epoch 100  |
|          6090 |    43168.3594 | Layer 1 | Epoch 100  |
|          6120 |    43969.4258 | Layer 1 | Epoch 101  |
|          6150 |    44053.9453 | Layer 1 | Epoch 101  |
|          6180 |    42742.7773 | Layer 1 | Epoch 102  |
|          6210 |    44397.5859 | Layer 1 | Epoch 102  |
|          6240 |    42437.3789 | Layer 1 | Epoch 103  |
|          6270 |    43939.9922 | Layer 1 | Epoch 103  |
|          6300 |    42513.2891 | Layer 1 | Epoch 104  |
|          6330 |    39762.4844 | Layer 1 | Epoch 104  |
|          6360 |    43327.6680 | Layer 1 | Epoch 105  |
|          6390 |    40904.8242 | Layer 1 | Epoch 105  |
|          6420 |    43410.2734 | Layer 1 | Epoch 106  |
|          6450 |    41817.5547 | Layer 1 | Epoch 106  |
|          6480 |    41320.2500 | Layer 1 | Epoch 107  |
|          6510 |    42992.2461 | Layer 1 | Epoch 107  |
|          6540 |    44331.8125 | Layer 1 | Epoch 108  |
|          6570 |    42469.4766 | Layer 1 | Epoch 108  |
|          6600 |    42391.9883 | Layer 1 | Epoch 109  |
|          6630 |    42290.3867 | Layer 1 | Epoch 109  |
|          6660 |    42912.9688 | Layer 1 | Epoch 110  |
|          6690 |    44261.5117 | Layer 1 | Epoch 110  |
|          6720 |    42722.0469 | Layer 1 | Epoch 111  |
|          6750 |    43486.7578 | Layer 1 | Epoch 111  |
|          6780 |    40657.0859 | Layer 1 | Epoch 112  |
|          6810 |    44120.1680 | Layer 1 | Epoch 112  |
|          6840 |    44376.7812 | Layer 1 | Epoch 113  |
|          6870 |    42635.3789 | Layer 1 | Epoch 113  |
|          6900 |    41981.3594 | Layer 1 | Epoch 114  |
|          6930 |    40976.1953 | Layer 1 | Epoch 114  |
|          6960 |    40021.2734 | Layer 1 | Epoch 115  |
