Script started on Thu 23 Nov 2017 04:31:55 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ exit[Kexitpy autoencoder.py
2017-11-23 16:32:12.689702: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 16:32:12.689717: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 16:32:12.689720: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 16:32:12.689723: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 16:32:12.689726: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 16:32:12.792484: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 16:32:12.792721: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 9.94GiB
2017-11-23 16:32:12.792733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 16:32:12.792736: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 16:32:12.792742: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46832.1055 | Layer 1 | Epoch 1  |
|            30 |    45264.5391 | Layer 1 | Epoch 1  |
|            60 |    45200.7109 | Layer 1 | Epoch 1  |
|            90 |    45187.6562 | Layer 1 | Epoch 2  |
|           120 |    45014.3789 | Layer 1 | Epoch 2  |
|           150 |    45097.1328 | Layer 1 | Epoch 3  |
|           180 |    44997.0898 | Layer 1 | Epoch 3  |
|           210 |    45056.9688 | Layer 1 | Epoch 4  |
|           240 |    44875.2148 | Layer 1 | Epoch 4  |
|           270 |    44845.9688 | Layer 1 | Epoch 5  |
|           300 |    44561.1641 | Layer 1 | Epoch 5  |
|           330 |    44416.8750 | Layer 1 | Epoch 6  |
|           360 |    43710.4766 | Layer 1 | Epoch 6  |
|           390 |    44206.6875 | Layer 1 | Epoch 7  |
|           420 |    43890.5586 | Layer 1 | Epoch 7  |
|           450 |    43526.0312 | Layer 1 | Epoch 8  |
|           480 |    43512.3867 | Layer 1 | Epoch 8  |
|           510 |    43454.8633 | Layer 1 | Epoch 9  |
|           540 |    43256.7305 | Layer 1 | Epoch 9  |
|           570 |    43455.2539 | Layer 1 | Epoch 10  |
|           600 |    43632.5039 | Layer 1 | Epoch 10  |
|           630 |    43487.0781 | Layer 1 | Epoch 11  |
|           660 |    43763.1016 | Layer 1 | Epoch 11  |
|           690 |    43421.3516 | Layer 1 | Epoch 12  |
|           720 |    42446.4102 | Layer 1 | Epoch 12  |
|           750 |    42320.4453 | Layer 1 | Epoch 13  |
|           780 |    42581.8359 | Layer 1 | Epoch 13  |
|           810 |    42726.9570 | Layer 1 | Epoch 14  |
|           840 |    41663.6523 | Layer 1 | Epoch 14  |
|           870 |    42907.0234 | Layer 1 | Epoch 15  |
|           900 |    42891.8750 | Layer 1 | Epoch 15  |
|           930 |    41766.8594 | Layer 1 | Epoch 16  |
|           960 |    42800.9766 | Layer 1 | Epoch 16  |
|           990 |    43125.9141 | Layer 1 | Epoch 17  |
|          1020 |    41513.8594 | Layer 1 | Epoch 17  |
|          1050 |    41863.4609 | Layer 1 | Epoch 18  |
|          1080 |    41246.2031 | Layer 1 | Epoch 18  |
|          1110 |    42352.0742 | Layer 1 | Epoch 19  |
|          1140 |    42545.9922 | Layer 1 | Epoch 19  |
|          1170 |    42231.9453 | Layer 1 | Epoch 20  |
|          1200 |    42114.2656 | Layer 1 | Epoch 20  |
|          1230 |    41553.6953 | Layer 1 | Epoch 21  |
|          1260 |    41612.6953 | Layer 1 | Epoch 21  |
