Script started on Thu 23 Nov 2017 12:40:00 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ py autoencoder.py
2017-11-23 12:40:23.294799: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:40:23.294813: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:40:23.294817: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:40:23.294819: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:40:23.294822: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:40:23.428587: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 12:40:23.428814: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 9.88GiB
2017-11-23 12:40:23.428825: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 12:40:23.428830: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 12:40:23.428838: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46171.8125 | Layer 1 | Epoch 1  |
|            30 |    45331.6172 | Layer 1 | Epoch 1  |
|            60 |    45328.1250 | Layer 1 | Epoch 1  |
|            90 |    45295.3750 | Layer 1 | Epoch 2  |
|           120 |    45295.7344 | Layer 1 | Epoch 2  |
|           150 |    45247.3047 | Layer 1 | Epoch 3  |
|           180 |    45190.9375 | Layer 1 | Epoch 3  |
|           210 |    45194.9453 | Layer 1 | Epoch 4  |
|           240 |    45101.5664 | Layer 1 | Epoch 4  |
|           270 |    44986.4492 | Layer 1 | Epoch 5  |
|           300 |    45044.4258 | Layer 1 | Epoch 5  |
|           330 |    44828.4531 | Layer 1 | Epoch 6  |
|           360 |    45004.0586 | Layer 1 | Epoch 6  |
|           390 |    44813.1562 | Layer 1 | Epoch 7  |
|           420 |    44291.2109 | Layer 1 | Epoch 7  |
|           450 |    44118.0156 | Layer 1 | Epoch 8  |
|           480 |    44085.1094 | Layer 1 | Epoch 8  |
|           510 |    44329.4453 | Layer 1 | Epoch 9  |
|           540 |    44372.7266 | Layer 1 | Epoch 9  |
|           570 |    44246.3438 | Layer 1 | Epoch 10  |
|           600 |    44265.7266 | Layer 1 | Epoch 10  |
|           630 |    44014.1523 | Layer 1 | Epoch 11  |
|           660 |    43934.3516 | Layer 1 | Epoch 11  |
|           690 |    43040.0430 | Layer 1 | Epoch 12  |
|           720 |    43738.8711 | Layer 1 | Epoch 12  |
|           750 |    43860.0391 | Layer 1 | Epoch 13  |
|           780 |    44349.0273 | Layer 1 | Epoch 13  |
|           810 |    44673.5625 | Layer 1 | Epoch 14  |
|           840 |    43685.2188 | Layer 1 | Epoch 14  |
|           870 |    42706.7500 | Layer 1 | Epoch 15  |
|           900 |    42317.2188 | Layer 1 | Epoch 15  |
|           930 |    42883.5781 | Layer 1 | Epoch 16  |
|           960 |    42718.0156 | Layer 1 | Epoch 16  |
|           990 |    43797.6953 | Layer 1 | Epoch 17  |
|          1020 |    42990.3828 | Layer 1 | Epoch 17  |
|          1050 |    43272.2852 | Layer 1 | Epoch 18  |
|          1080 |    42936.0664 | Layer 1 | Epoch 18  |
|          1110 |    43314.1953 | Layer 1 | Epoch 19  |
|          1140 |    42351.3750 | Layer 1 | Epoch 19  |
|          1170 |    42053.8672 | Layer 1 | Epoch 20  |
|          1200 |    42932.8359 | Layer 1 | Epoch 20  |
|          1230 |    42485.2812 | Layer 1 | Epoch 21  |
|          1260 |    41454.2891 | Layer 1 | Epoch 21  |
