Script started on Thu 23 Nov 2017 11:07:44 AM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ a[Kpy autoencoder.py
2017-11-23 11:07:51.968352: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:07:51.968367: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:07:51.968371: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:07:51.968373: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:07:51.968376: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:07:52.090638: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 11:07:52.090872: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 9.83GiB
2017-11-23 11:07:52.090883: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 11:07:52.090886: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 11:07:52.090893: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45534.6133 | Layer 1 | Epoch 1  |
|            30 |    45412.5938 | Layer 1 | Epoch 1  |
|            60 |    45415.2969 | Layer 1 | Epoch 1  |
|            90 |    45405.1875 | Layer 1 | Epoch 2  |
|           120 |    45390.3594 | Layer 1 | Epoch 2  |
|           150 |    45383.1406 | Layer 1 | Epoch 3  |
|           180 |    45373.2188 | Layer 1 | Epoch 3  |
|           210 |    45392.8086 | Layer 1 | Epoch 4  |
|           240 |    45371.6328 | Layer 1 | Epoch 4  |
|           270 |    45341.8125 | Layer 1 | Epoch 5  |
|           300 |    45288.4492 | Layer 1 | Epoch 5  |
|           330 |    45294.0391 | Layer 1 | Epoch 6  |
|           360 |    45260.8906 | Layer 1 | Epoch 6  |
|           390 |    45240.6562 | Layer 1 | Epoch 7  |
|           420 |    45221.5938 | Layer 1 | Epoch 7  |
|           450 |    45259.8438 | Layer 1 | Epoch 8  |
|           480 |    45217.4297 | Layer 1 | Epoch 8  |
|           510 |    45185.5508 | Layer 1 | Epoch 9  |
|           540 |    45128.3594 | Layer 1 | Epoch 9  |
|           570 |    45080.9766 | Layer 1 | Epoch 10  |
|           600 |    45116.6562 | Layer 1 | Epoch 10  |
|           630 |    45114.7031 | Layer 1 | Epoch 11  |
|           660 |    45012.3828 | Layer 1 | Epoch 11  |
|           690 |    45044.3320 | Layer 1 | Epoch 12  |
|           720 |    44820.5469 | Layer 1 | Epoch 12  |
|           750 |    44875.4766 | Layer 1 | Epoch 13  |
|           780 |    45059.2539 | Layer 1 | Epoch 13  |
|           810 |    45048.8203 | Layer 1 | Epoch 14  |
|           840 |    44875.5000 | Layer 1 | Epoch 14  |
|           870 |    44691.5781 | Layer 1 | Epoch 15  |
|           900 |    45005.0234 | Layer 1 | Epoch 15  |
|           930 |    45053.8516 | Layer 1 | Epoch 16  |
|           960 |    44901.0195 | Layer 1 | Epoch 16  |
|           990 |    44706.2188 | Layer 1 | Epoch 17  |
|          1020 |    44555.4844 | Layer 1 | Epoch 17  |
|          1050 |    44681.5234 | Layer 1 | Epoch 18  |
|          1080 |    44324.0977 | Layer 1 | Epoch 18  |
|          1110 |    44727.9453 | Layer 1 | Epoch 19  |
|          1140 |    44601.7422 | Layer 1 | Epoch 19  |
|          1170 |    44998.5391 | Layer 1 | Epoch 20  |
|          1200 |    44526.2031 | Layer 1 | Epoch 20  |
|          1230 |    44565.2656 | Layer 1 | Epoch 21  |
|          1260 |    44680.7344 | Layer 1 | Epoch 21  |
