Script started on Thu 23 Nov 2017 11:27:34 AM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ exitpy autoencoder.py
2017-11-23 11:27:39.021075: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:27:39.021091: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:27:39.021094: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:27:39.021097: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:27:39.021099: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 11:27:39.113733: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 11:27:39.113960: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 9.86GiB
2017-11-23 11:27:39.113970: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 11:27:39.113973: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 11:27:39.113978: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46868.7461 | Layer 1 | Epoch 1  |
|            30 |    45260.8984 | Layer 1 | Epoch 1  |
|            60 |    45194.2344 | Layer 1 | Epoch 1  |
|            90 |    45220.9062 | Layer 1 | Epoch 2  |
|           120 |    45149.4688 | Layer 1 | Epoch 2  |
|           150 |    44995.2031 | Layer 1 | Epoch 3  |
|           180 |    45125.7305 | Layer 1 | Epoch 3  |
|           210 |    44705.8047 | Layer 1 | Epoch 4  |
|           240 |    44650.9297 | Layer 1 | Epoch 4  |
|           270 |    44752.5703 | Layer 1 | Epoch 5  |
|           300 |    44725.0078 | Layer 1 | Epoch 5  |
|           330 |    43965.0234 | Layer 1 | Epoch 6  |
|           360 |    44892.7031 | Layer 1 | Epoch 6  |
|           390 |    43834.8828 | Layer 1 | Epoch 7  |
|           420 |    43432.4570 | Layer 1 | Epoch 7  |
|           450 |    43929.7812 | Layer 1 | Epoch 8  |
|           480 |    43957.1484 | Layer 1 | Epoch 8  |
|           510 |    43309.4297 | Layer 1 | Epoch 9  |
|           540 |    43098.6484 | Layer 1 | Epoch 9  |
|           570 |    43867.9570 | Layer 1 | Epoch 10  |
|           600 |    43353.8281 | Layer 1 | Epoch 10  |
|           630 |    43008.7266 | Layer 1 | Epoch 11  |
|           660 |    44026.8125 | Layer 1 | Epoch 11  |
|           690 |    43263.7031 | Layer 1 | Epoch 12  |
|           720 |    42360.1562 | Layer 1 | Epoch 12  |
|           750 |    41245.8164 | Layer 1 | Epoch 13  |
|           780 |    42418.4688 | Layer 1 | Epoch 13  |
|           810 |    42397.4219 | Layer 1 | Epoch 14  |
|           840 |    43052.1484 | Layer 1 | Epoch 14  |
|           870 |    41894.0781 | Layer 1 | Epoch 15  |
|           900 |    43342.9844 | Layer 1 | Epoch 15  |
|           930 |    42393.1836 | Layer 1 | Epoch 16  |
|           960 |    42047.6719 | Layer 1 | Epoch 16  |
|           990 |    42068.6797 | Layer 1 | Epoch 17  |
|          1020 |    42073.2891 | Layer 1 | Epoch 17  |
|          1050 |    42823.9609 | Layer 1 | Epoch 18  |
|          1080 |    41277.0977 | Layer 1 | Epoch 18  |
|          1110 |    40899.1172 | Layer 1 | Epoch 19  |
|          1140 |    41712.7461 | Layer 1 | Epoch 19  |
|          1170 |    41875.2734 | Layer 1 | Epoch 20  |
|          1200 |    40245.7266 | Layer 1 | Epoch 20  |
|          1230 |    41377.8242 | Layer 1 | Epoch 21  |
|          1260 |    40885.5391 | Layer 1 | Epoch 21  |
|          1290 |    42109.9453 | Layer 1 | Epoch 22  |
|          1320 |    42164.6797 | Layer 1 | Epoch 22  |
|          1350 |    42337.5938 | Layer 1 | Epoch 23  |
|          1380 |    41402.8828 | Layer 1 | Epoch 23  |
|          1410 |    41320.0312 | Layer 1 | Epoch 24  |
|          1440 |    40685.4961 | Layer 1 | Epoch 24  |
|          1470 |    40881.2852 | Layer 1 | Epoch 25  |
|          1500 |    41525.8906 | Layer 1 | Epoch 25  |
|          1530 |    41316.1641 | Layer 1 | Epoch 26  |
|          1560 |    39864.9648 | Layer 1 | Epoch 26  |
|          1590 |    41035.7969 | Layer 1 | Epoch 27  |
|          1620 |    40929.4766 | Layer 1 | Epoch 27  |
|          1650 |    42097.8359 | Layer 1 | Epoch 28  |
|          1680 |    41524.0312 | Layer 1 | Epoch 28  |
|          1710 |    39250.1758 | Layer 1 | Epoch 29  |
|          1740 |    41079.9688 | Layer 1 | Epoch 29  |
|          1770 |    39912.3438 | Layer 1 | Epoch 30  |
|          1800 |    40907.1875 | Layer 1 | Epoch 30  |
|          1830 |    40419.7969 | Layer 1 | Epoch 31  |
|          1860 |    41189.9531 | Layer 1 | Epoch 31  |
|          1890 |    41278.5625 | Layer 1 | Epoch 31  |
|          1920 |    40873.3672 | Layer 1 | Epoch 32  |
|          1950 |    42050.8711 | Layer 1 | Epoch 32  |
|          1980 |    41224.0039 | Layer 1 | Epoch 33  |
|          2010 |    40830.2656 | Layer 1 | Epoch 33  |
|          2040 |    39191.8750 | Layer 1 | Epoch 34  |
|          2070 |    40086.1445 | Layer 1 | Epoch 34  |
|          2100 |    40171.7031 | Layer 1 | Epoch 35  |
|          2130 |    41012.8125 | Layer 1 | Epoch 35  |
|          2160 |    39997.0156 | Layer 1 | Epoch 36  |
|          2190 |    40601.8984 | Layer 1 | Epoch 36  |
|          2220 |    41810.7500 | Layer 1 | Epoch 37  |
|          2250 |    39569.7031 | Layer 1 | Epoch 37  |
|          2280 |    40601.2656 | Layer 1 | Epoch 38  |
|          2310 |    40110.0000 | Layer 1 | Epoch 38  |
|          2340 |    41532.4609 | Layer 1 | Epoch 39  |
|          2370 |    41123.8945 | Layer 1 | Epoch 39  |
|          2400 |    39365.7305 | Layer 1 | Epoch 40  |
|          2430 |    38100.2812 | Layer 1 | Epoch 40  |
|          2460 |    40638.9062 | Layer 1 | Epoch 41  |
|          2490 |    40200.1641 | Layer 1 | Epoch 41  |
|          2520 |    39905.7852 | Layer 1 | Epoch 42  |
|          2550 |    40046.8320 | Layer 1 | Epoch 42  |
|          2580 |    40107.0000 | Layer 1 | Epoch 43  |
|          2610 |    39637.8945 | Layer 1 | Epoch 43  |
|          2640 |    42373.0117 | Layer 1 | Epoch 44  |
|          2670 |    40021.0195 | Layer 1 | Epoch 44  |
|          2700 |    39759.3203 | Layer 1 | Epoch 45  |
|          2730 |    40274.0391 | Layer 1 | Epoch 45  |
|          2760 |    41697.2461 | Layer 1 | Epoch 46  |
|          2790 |    39581.0742 | Layer 1 | Epoch 46  |
|          2820 |    40228.4688 | Layer 1 | Epoch 47  |
