Script started on Sun 26 Nov 2017 02:27:26 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exitpy autoencoder.py
2017-11-26 14:27:36.228457: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:27:36.335454: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:27:36.335682: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.77GiB
2017-11-26 14:27:36.335692: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45609.6055 | Layer 1 | Epoch 1  |
|            30 |    45404.0625 | Layer 1 | Epoch 1  |
|            60 |    45408.7383 | Layer 1 | Epoch 1  |
|            90 |    45393.0547 | Layer 1 | Epoch 2  |
|           120 |    45389.2383 | Layer 1 | Epoch 2  |
|           150 |    45354.0703 | Layer 1 | Epoch 3  |
|           180 |    45341.3125 | Layer 1 | Epoch 3  |
|           210 |    45327.4922 | Layer 1 | Epoch 4  |
|           240 |    45296.4844 | Layer 1 | Epoch 4  |
|           270 |    45331.5742 | Layer 1 | Epoch 5  |
|           300 |    45325.1992 | Layer 1 | Epoch 5  |
|           330 |    45227.0508 | Layer 1 | Epoch 6  |
|           360 |    45182.8633 | Layer 1 | Epoch 6  |
|           390 |    45193.2500 | Layer 1 | Epoch 7  |
|           420 |    45213.0703 | Layer 1 | Epoch 7  |
|           450 |    45138.7266 | Layer 1 | Epoch 8  |
|           480 |    44879.3203 | Layer 1 | Epoch 8  |
|           510 |    45031.4062 | Layer 1 | Epoch 9  |
|           540 |    45177.1836 | Layer 1 | Epoch 9  |
|           570 |    44895.7422 | Layer 1 | Epoch 10  |
|           600 |    44852.2461 | Layer 1 | Epoch 10  |
|           630 |    45018.8672 | Layer 1 | Epoch 11  |
|           660 |    44785.4727 | Layer 1 | Epoch 11  |
|           690 |    44876.8320 | Layer 1 | Epoch 12  |
|           720 |    44841.9141 | Layer 1 | Epoch 12  |
|           750 |    44582.9688 | Layer 1 | Epoch 13  |
|           780 |    44900.5664 | Layer 1 | Epoch 13  |
|           810 |    44479.7734 | Layer 1 | Epoch 14  |
|           840 |    44752.6953 | Layer 1 | Epoch 14  |
