Script started on Thu 23 Nov 2017 12:22:37 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ pty[K[Ky autoencoder.py
2017-11-23 12:22:41.434610: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:22:41.434626: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:22:41.434632: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:22:41.434637: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:22:41.434642: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 12:22:41.561167: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 12:22:41.561398: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 10.02GiB
2017-11-23 12:22:41.561410: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 12:22:41.561414: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 12:22:41.561421: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45595.5547 | Layer 1 | Epoch 1  |
|            30 |    45404.3828 | Layer 1 | Epoch 1  |
|            60 |    45386.5859 | Layer 1 | Epoch 1  |
|            90 |    45379.6523 | Layer 1 | Epoch 2  |
|           120 |    45367.4297 | Layer 1 | Epoch 2  |
|           150 |    45355.6367 | Layer 1 | Epoch 3  |
|           180 |    45341.0898 | Layer 1 | Epoch 3  |
|           210 |    45323.4922 | Layer 1 | Epoch 4  |
|           240 |    45332.5859 | Layer 1 | Epoch 4  |
|           270 |    45254.9375 | Layer 1 | Epoch 5  |
|           300 |    45327.7656 | Layer 1 | Epoch 5  |
|           330 |    45147.4453 | Layer 1 | Epoch 6  |
|           360 |    45333.2812 | Layer 1 | Epoch 6  |
|           390 |    45224.0977 | Layer 1 | Epoch 7  |
|           420 |    45056.5859 | Layer 1 | Epoch 7  |
|           450 |    44926.4609 | Layer 1 | Epoch 8  |
|           480 |    44965.3086 | Layer 1 | Epoch 8  |
|           510 |    45068.5781 | Layer 1 | Epoch 9  |
|           540 |    45039.8203 | Layer 1 | Epoch 9  |
|           570 |    45150.6562 | Layer 1 | Epoch 10  |
|           600 |    44717.5625 | Layer 1 | Epoch 10  |
|           630 |    44999.8359 | Layer 1 | Epoch 11  |
|           660 |    44957.9375 | Layer 1 | Epoch 11  |
|           690 |    44864.5391 | Layer 1 | Epoch 12  |
|           720 |    44891.0000 | Layer 1 | Epoch 12  |
|           750 |    44582.0469 | Layer 1 | Epoch 13  |
|           780 |    44630.4219 | Layer 1 | Epoch 13  |
|           810 |    44565.2188 | Layer 1 | Epoch 14  |
|           840 |    44579.5781 | Layer 1 | Epoch 14  |
|           870 |    44672.6992 | Layer 1 | Epoch 15  |
|           900 |    44674.3867 | Layer 1 | Epoch 15  |
|           930 |    44635.9219 | Layer 1 | Epoch 16  |
|           960 |    44312.1094 | Layer 1 | Epoch 16  |
|           990 |    44674.2461 | Layer 1 | Epoch 17  |
|          1020 |    44325.4844 | Layer 1 | Epoch 17  |
|          1050 |    44468.7227 | Layer 1 | Epoch 18  |
|          1080 |    44879.7344 | Layer 1 | Epoch 18  |
|          1110 |    44133.9922 | Layer 1 | Epoch 19  |
|          1140 |    44102.9219 | Layer 1 | Epoch 19  |
|          1170 |    44311.1250 | Layer 1 | Epoch 20  |
|          1200 |    43594.5391 | Layer 1 | Epoch 20  |
|          1230 |    44179.9375 | Layer 1 | Epoch 21  |
|          1260 |    43724.9961 | Layer 1 | Epoch 21  |
