Script started on Sun 26 Nov 2017 02:46:58 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exit\py autoencoder.py
2017-11-26 14:47:01.497052: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:47:01.594700: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:47:01.594937: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.81GiB
2017-11-26 14:47:01.594948: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45522.1875 | Layer 1 | Epoch 1  |
|            30 |    45415.4375 | Layer 1 | Epoch 1  |
|            60 |    45410.9766 | Layer 1 | Epoch 1  |
|            90 |    45404.5938 | Layer 1 | Epoch 2  |
|           120 |    45395.0391 | Layer 1 | Epoch 2  |
|           150 |    45387.0195 | Layer 1 | Epoch 3  |
|           180 |    45383.8984 | Layer 1 | Epoch 3  |
|           210 |    45372.6055 | Layer 1 | Epoch 4  |
|           240 |    45353.8828 | Layer 1 | Epoch 4  |
|           270 |    45334.0078 | Layer 1 | Epoch 5  |
|           300 |    45336.6133 | Layer 1 | Epoch 5  |
|           330 |    45335.1055 | Layer 1 | Epoch 6  |
|           360 |    45271.4180 | Layer 1 | Epoch 6  |
|           390 |    45258.5078 | Layer 1 | Epoch 7  |
|           420 |    45241.9180 | Layer 1 | Epoch 7  |
|           450 |    45254.1562 | Layer 1 | Epoch 8  |
|           480 |    45211.2188 | Layer 1 | Epoch 8  |
|           510 |    45221.3438 | Layer 1 | Epoch 9  |
|           540 |    45189.0547 | Layer 1 | Epoch 9  |
|           570 |    45104.1680 | Layer 1 | Epoch 10  |
|           600 |    45027.3633 | Layer 1 | Epoch 10  |
|           630 |    45102.0664 | Layer 1 | Epoch 11  |
|           660 |    44950.8438 | Layer 1 | Epoch 11  |
|           690 |    45104.7422 | Layer 1 | Epoch 12  |
|           720 |    45119.9141 | Layer 1 | Epoch 12  |
|           750 |    44972.8008 | Layer 1 | Epoch 13  |
|           780 |    45039.1680 | Layer 1 | Epoch 13  |
|           810 |    44789.7188 | Layer 1 | Epoch 14  |
|           840 |    44793.2070 | Layer 1 | Epoch 14  |
|           870 |    44978.7266 | Layer 1 | Epoch 15  |
|           900 |    45010.3086 | Layer 1 | Epoch 15  |
|           930 |    44862.6289 | Layer 1 | Epoch 16  |
|           960 |    44728.1250 | Layer 1 | Epoch 16  |
|           990 |    44763.1992 | Layer 1 | Epoch 17  |
|          1020 |    44821.9297 | Layer 1 | Epoch 17  |
|          1050 |    44477.4922 | Layer 1 | Epoch 18  |
|          1080 |    44362.3398 | Layer 1 | Epoch 18  |
|          1110 |    44329.4570 | Layer 1 | Epoch 19  |
|          1140 |    44547.3047 | Layer 1 | Epoch 19  |
|          1170 |    45000.9609 | Layer 1 | Epoch 20  |
|          1200 |    44740.2812 | Layer 1 | Epoch 20  |
|          1230 |    44327.0508 | Layer 1 | Epoch 21  |
|          1260 |    44696.3672 | Layer 1 | Epoch 21  |
|          1290 |    44842.0781 | Layer 1 | Epoch 22  |
|          1320 |    44760.1367 | Layer 1 | Epoch 22  |
|          1350 |    44387.7266 | Layer 1 | Epoch 23  |
