Script started on Thu 23 Nov 2017 01:14:42 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ exitpy autoencoder.py
2017-11-23 13:14:46.537076: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 13:14:46.537093: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 13:14:46.537096: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 13:14:46.537099: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 13:14:46.537101: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 13:14:46.634757: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 13:14:46.635001: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 10.02GiB
2017-11-23 13:14:46.635011: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 13:14:46.635015: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 13:14:46.635019: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46774.2305 | Layer 1 | Epoch 1  |
|            30 |    45283.3438 | Layer 1 | Epoch 1  |
|            60 |    45225.6172 | Layer 1 | Epoch 1  |
|            90 |    45189.2148 | Layer 1 | Epoch 2  |
|           120 |    45137.5859 | Layer 1 | Epoch 2  |
|           150 |    45008.9219 | Layer 1 | Epoch 3  |
|           180 |    44971.5039 | Layer 1 | Epoch 3  |
|           210 |    44715.7266 | Layer 1 | Epoch 4  |
|           240 |    45040.4727 | Layer 1 | Epoch 4  |
|           270 |    44871.7422 | Layer 1 | Epoch 5  |
|           300 |    44334.1172 | Layer 1 | Epoch 5  |
|           330 |    44350.1328 | Layer 1 | Epoch 6  |
|           360 |    43985.5312 | Layer 1 | Epoch 6  |
|           390 |    44028.7500 | Layer 1 | Epoch 7  |
|           420 |    43934.2422 | Layer 1 | Epoch 7  |
|           450 |    44524.0664 | Layer 1 | Epoch 8  |
|           480 |    43639.5547 | Layer 1 | Epoch 8  |
|           510 |    43556.0078 | Layer 1 | Epoch 9  |
|           540 |    42758.9531 | Layer 1 | Epoch 9  |
|           570 |    43378.2070 | Layer 1 | Epoch 10  |
|           600 |    42810.1406 | Layer 1 | Epoch 10  |
|           630 |    43375.6953 | Layer 1 | Epoch 11  |
|           660 |    43336.8359 | Layer 1 | Epoch 11  |
|           690 |    42827.9297 | Layer 1 | Epoch 12  |
|           720 |    43727.3203 | Layer 1 | Epoch 12  |
|           750 |    42418.3398 | Layer 1 | Epoch 13  |
|           780 |    42614.4766 | Layer 1 | Epoch 13  |
|           810 |    43945.9141 | Layer 1 | Epoch 14  |
|           840 |    41971.6250 | Layer 1 | Epoch 14  |
|           870 |    42511.2109 | Layer 1 | Epoch 15  |
|           900 |    42322.6758 | Layer 1 | Epoch 15  |
|           930 |    42399.1055 | Layer 1 | Epoch 16  |
|           960 |    41053.1133 | Layer 1 | Epoch 16  |
|           990 |    42964.6953 | Layer 1 | Epoch 17  |
|          1020 |    42614.8164 | Layer 1 | Epoch 17  |
|          1050 |    41304.5977 | Layer 1 | Epoch 18  |
|          1080 |    41415.5547 | Layer 1 | Epoch 18  |
|          1110 |    41603.5781 | Layer 1 | Epoch 19  |
|          1140 |    41250.7031 | Layer 1 | Epoch 19  |
|          1170 |    42854.8906 | Layer 1 | Epoch 20  |
|          1200 |    43151.8594 | Layer 1 | Epoch 20  |
|          1230 |    40118.2930 | Layer 1 | Epoch 21  |
|          1260 |    40803.5117 | Layer 1 | Epoch 21  |
