Script started on Thu 23 Nov 2017 03:47:20 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ exit[Kexitpy autoencoder.py
2017-11-23 15:49:06.837793: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:49:06.837808: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:49:06.837811: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:49:06.837814: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:49:06.837816: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:49:06.954752: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 15:49:06.954984: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 9.98GiB
2017-11-23 15:49:06.954995: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 15:49:06.954998: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 15:49:06.955002: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46897.5703 | Layer 1 | Epoch 1  |
|            30 |    45291.8398 | Layer 1 | Epoch 1  |
|            60 |    45248.0508 | Layer 1 | Epoch 1  |
|            90 |    45211.5781 | Layer 1 | Epoch 2  |
|           120 |    45154.1797 | Layer 1 | Epoch 2  |
|           150 |    44843.4219 | Layer 1 | Epoch 3  |
|           180 |    44852.4609 | Layer 1 | Epoch 3  |
|           210 |    44776.2656 | Layer 1 | Epoch 4  |
|           240 |    45072.7070 | Layer 1 | Epoch 4  |
|           270 |    44473.6094 | Layer 1 | Epoch 5  |
|           300 |    44465.3672 | Layer 1 | Epoch 5  |
|           330 |    44224.8828 | Layer 1 | Epoch 6  |
|           360 |    43882.6172 | Layer 1 | Epoch 6  |
|           390 |    44176.4805 | Layer 1 | Epoch 7  |
|           420 |    43800.1250 | Layer 1 | Epoch 7  |
|           450 |    43734.6992 | Layer 1 | Epoch 8  |
|           480 |    43831.7266 | Layer 1 | Epoch 8  |
|           510 |    43095.7891 | Layer 1 | Epoch 9  |
|           540 |    43534.0820 | Layer 1 | Epoch 9  |
|           570 |    43394.0469 | Layer 1 | Epoch 10  |
|           600 |    42717.6641 | Layer 1 | Epoch 10  |
|           630 |    43223.3672 | Layer 1 | Epoch 11  |
|           660 |    43854.8125 | Layer 1 | Epoch 11  |
|           690 |    43403.9609 | Layer 1 | Epoch 12  |
|           720 |    42927.8984 | Layer 1 | Epoch 12  |
|           750 |    43512.0312 | Layer 1 | Epoch 13  |
|           780 |    42937.8516 | Layer 1 | Epoch 13  |
|           810 |    42369.8867 | Layer 1 | Epoch 14  |
|           840 |    43161.3594 | Layer 1 | Epoch 14  |
|           870 |    42064.5938 | Layer 1 | Epoch 15  |
|           900 |    42168.5352 | Layer 1 | Epoch 15  |
|           930 |    43005.4688 | Layer 1 | Epoch 16  |
|           960 |    42992.6289 | Layer 1 | Epoch 16  |
|           990 |    42547.5430 | Layer 1 | Epoch 17  |
|          1020 |    41903.1016 | Layer 1 | Epoch 17  |
|          1050 |    42209.5469 | Layer 1 | Epoch 18  |
|          1080 |    41117.1367 | Layer 1 | Epoch 18  |
|          1110 |    39812.6836 | Layer 1 | Epoch 19  |
|          1140 |    41861.6719 | Layer 1 | Epoch 19  |
|          1170 |    41452.7461 | Layer 1 | Epoch 20  |
|          1200 |    41255.3828 | Layer 1 | Epoch 20  |
|          1230 |    41648.5898 | Layer 1 | Epoch 21  |
|          1260 |    40614.6172 | Layer 1 | Epoch 21  |
