Script started on Sun 26 Nov 2017 02:39:32 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exitpy autoencoder.py
2017-11-26 14:39:39.077157: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:39:39.174269: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:39:39.174503: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.77GiB
2017-11-26 14:39:39.174515: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45482.0977 | Layer 1 | Epoch 1  |
|            30 |    45419.7617 | Layer 1 | Epoch 1  |
|            60 |    45414.2266 | Layer 1 | Epoch 1  |
|            90 |    45410.0391 | Layer 1 | Epoch 2  |
|           120 |    45407.3516 | Layer 1 | Epoch 2  |
|           150 |    45410.1602 | Layer 1 | Epoch 3  |
|           180 |    45389.9570 | Layer 1 | Epoch 3  |
|           210 |    45379.0391 | Layer 1 | Epoch 4  |
|           240 |    45397.5703 | Layer 1 | Epoch 4  |
|           270 |    45376.4883 | Layer 1 | Epoch 5  |
|           300 |    45379.6328 | Layer 1 | Epoch 5  |
|           330 |    45366.4609 | Layer 1 | Epoch 6  |
|           360 |    45374.7930 | Layer 1 | Epoch 6  |
|           390 |    45327.0938 | Layer 1 | Epoch 7  |
|           420 |    45336.1406 | Layer 1 | Epoch 7  |
|           450 |    45317.1914 | Layer 1 | Epoch 8  |
|           480 |    45257.2852 | Layer 1 | Epoch 8  |
|           510 |    45266.5391 | Layer 1 | Epoch 9  |
|           540 |    45291.5859 | Layer 1 | Epoch 9  |
|           570 |    45255.1719 | Layer 1 | Epoch 10  |
|           600 |    45151.0039 | Layer 1 | Epoch 10  |
|           630 |    45286.0664 | Layer 1 | Epoch 11  |
|           660 |    45226.8477 | Layer 1 | Epoch 11  |
|           690 |    45212.9922 | Layer 1 | Epoch 12  |
|           720 |    45211.9141 | Layer 1 | Epoch 12  |
|           750 |    45170.5430 | Layer 1 | Epoch 13  |
|           780 |    45094.3828 | Layer 1 | Epoch 13  |
|           810 |    45021.2227 | Layer 1 | Epoch 14  |
|           840 |    45167.1172 | Layer 1 | Epoch 14  |
|           870 |    45045.5156 | Layer 1 | Epoch 15  |
|           900 |    45176.4258 | Layer 1 | Epoch 15  |
|           930 |    45133.1797 | Layer 1 | Epoch 16  |
|           960 |    45149.5703 | Layer 1 | Epoch 16  |
|           990 |    45076.1680 | Layer 1 | Epoch 17  |
|          1020 |    44887.2500 | Layer 1 | Epoch 17  |
|          1050 |    45048.3359 | Layer 1 | Epoch 18  |
|          1080 |    45119.6367 | Layer 1 | Epoch 18  |
|          1110 |    45068.5938 | Layer 1 | Epoch 19  |
|          1140 |    44890.4922 | Layer 1 | Epoch 19  |
|          1170 |    45161.5547 | Layer 1 | Epoch 20  |
|          1200 |    44969.7500 | Layer 1 | Epoch 20  |
|          1230 |    45078.9062 | Layer 1 | Epoch 21  |
|          1260 |    45011.0781 | Layer 1 | Epoch 21  |
|          1290 |    44848.4883 | Layer 1 | Epoch 22  |
|          1320 |    44904.4219 | Layer 1 | Epoch 22  |
|          1350 |    44819.6172 | Layer 1 | Epoch 23  |
|          1380 |    44833.2617 | Layer 1 | Epoch 23  |
|          1410 |    44752.3359 | Layer 1 | Epoch 24  |
|          1440 |    44892.7070 | Layer 1 | Epoch 24  |
|          1470 |    44889.1172 | Layer 1 | Epoch 25  |
|          1500 |    45016.2109 | Layer 1 | Epoch 25  |
|          1530 |    44424.2422 | Layer 1 | Epoch 26  |
|          1560 |    44938.3555 | Layer 1 | Epoch 26  |
|          1590 |    44879.6641 | Layer 1 | Epoch 27  |
|          1620 |    44711.0117 | Layer 1 | Epoch 27  |
|          1650 |    44767.4492 | Layer 1 | Epoch 28  |
|          1680 |    44630.5547 | Layer 1 | Epoch 28  |
|          1710 |    44456.4062 | Layer 1 | Epoch 29  |
|          1740 |    44257.5703 | Layer 1 | Epoch 29  |
|          1770 |    44840.5391 | Layer 1 | Epoch 30  |
|          1800 |    44804.3398 | Layer 1 | Epoch 30  |
|          1830 |    44623.6445 | Layer 1 | Epoch 31  |
|          1860 |    44603.8828 | Layer 1 | Epoch 31  |
|          1890 |    44643.9648 | Layer 1 | Epoch 31  |
|          1920 |    44569.2891 | Layer 1 | Epoch 32  |
|          1950 |    44766.3672 | Layer 1 | Epoch 32  |
|          1980 |    44498.0391 | Layer 1 | Epoch 33  |
|          2010 |    44373.4844 | Layer 1 | Epoch 33  |
|          2040 |    44749.6875 | Layer 1 | Epoch 34  |
|          2070 |    44429.8320 | Layer 1 | Epoch 34  |
|          2100 |    44334.1992 | Layer 1 | Epoch 35  |
|          2130 |    44504.1875 | Layer 1 | Epoch 35  |
|          2160 |    44428.1445 | Layer 1 | Epoch 36  |
|          2190 |    44355.8984 | Layer 1 | Epoch 36  |
|          2220 |    44293.0820 | Layer 1 | Epoch 37  |
|          2250 |    44475.6484 | Layer 1 | Epoch 37  |
|          2280 |    44539.1172 | Layer 1 | Epoch 38  |
|          2310 |    44519.3945 | Layer 1 | Epoch 38  |
|          2340 |    44247.9062 | Layer 1 | Epoch 39  |
|          2370 |    44738.5312 | Layer 1 | Epoch 39  |
|          2400 |    44616.5977 | Layer 1 | Epoch 40  |
|          2430 |    44458.3750 | Layer 1 | Epoch 40  |
|          2460 |    44325.7891 | Layer 1 | Epoch 41  |
|          2490 |    44522.3398 | Layer 1 | Epoch 41  |
|          2520 |    44503.6992 | Layer 1 | Epoch 42  |
|          2550 |    44625.1328 | Layer 1 | Epoch 42  |
|          2580 |    44292.0078 | Layer 1 | Epoch 43  |
|          2610 |    44238.5547 | Layer 1 | Epoch 43  |
|          2640 |    44330.9102 | Layer 1 | Epoch 44  |
|          2670 |    44395.1094 | Layer 1 | Epoch 44  |
|          2700 |    43702.6602 | Layer 1 | Epoch 45  |
|          2730 |    44530.4883 | Layer 1 | Epoch 45  |
|          2760 |    43859.0117 | Layer 1 | Epoch 46  |
|          2790 |    44703.9414 | Layer 1 | Epoch 46  |
|          2820 |    44722.9766 | Layer 1 | Epoch 47  |
|          2850 |    44234.8750 | Layer 1 | Epoch 47  |
|          2880 |    44233.5312 | Layer 1 | Epoch 48  |
|          2910 |    44022.3086 | Layer 1 | Epoch 48  |
|          2940 |    44739.6172 | Layer 1 | Epoch 49  |
|          2970 |    44501.7383 | Layer 1 | Epoch 49  |
|          3000 |    43877.8008 | Layer 1 | Epoch 50  |
|          3030 |    44350.9883 | Layer 1 | Epoch 50  |
|          3060 |    43973.1953 | Layer 1 | Epoch 51  |
|          3090 |    44269.5742 | Layer 1 | Epoch 51  |
|          3120 |    44280.9453 | Layer 1 | Epoch 52  |
|          3150 |    43939.9180 | Layer 1 | Epoch 52  |
|          3180 |    43585.8359 | Layer 1 | Epoch 53  |
|          3210 |    44029.4062 | Layer 1 | Epoch 53  |
|          3240 |    44398.2852 | Layer 1 | Epoch 54  |
|          3270 |    43801.5039 | Layer 1 | Epoch 54  |
|          3300 |    44431.5859 | Layer 1 | Epoch 55  |
|          3330 |    44438.5703 | Layer 1 | Epoch 55  |
|          3360 |    43951.5586 | Layer 1 | Epoch 56  |
|          3390 |    43803.6133 | Layer 1 | Epoch 56  |
|          3420 |    43778.7891 | Layer 1 | Epoch 57  |
|          3450 |    44128.1797 | Layer 1 | Epoch 57  |
|          3480 |    43843.8203 | Layer 1 | Epoch 58  |
|          3510 |    44116.1641 | Layer 1 | Epoch 58  |
|          3540 |    43717.6367 | Layer 1 | Epoch 59  |
|          3570 |    43846.1406 | Layer 1 | Epoch 59  |
|          3600 |    43672.9609 | Layer 1 | Epoch 60  |
|          3630 |    44043.4141 | Layer 1 | Epoch 60  |
|          3660 |    43974.8125 | Layer 1 | Epoch 61  |
|          3690 |    43989.7031 | Layer 1 | Epoch 61  |
|          3720 |    44048.7539 | Layer 1 | Epoch 61  |
|          3750 |    43950.9883 | Layer 1 | Epoch 62  |
|          3780 |    44338.9961 | Layer 1 | Epoch 62  |
|          3810 |    43713.2305 | Layer 1 | Epoch 63  |
|          3840 |    43423.9141 | Layer 1 | Epoch 63  |
|          3870 |    44144.1133 | Layer 1 | Epoch 64  |
|          3900 |    43548.0156 | Layer 1 | Epoch 64  |
|          3930 |    43539.6875 | Layer 1 | Epoch 65  |
|          3960 |    43481.0078 | Layer 1 | Epoch 65  |
|          3990 |    43345.5820 | Layer 1 | Epoch 66  |
|          4020 |    43990.6445 | Layer 1 | Epoch 66  |
|          4050 |    43211.9766 | Layer 1 | Epoch 67  |
|          4080 |    43749.2578 | Layer 1 | Epoch 67  |
|          4110 |    44038.4492 | Layer 1 | Epoch 68  |
|          4140 |    43862.9375 | Layer 1 | Epoch 68  |
|          4170 |    43719.7109 | Layer 1 | Epoch 69  |
|          4200 |    43575.8203 | Layer 1 | Epoch 69  |
|          4230 |    44173.8984 | Layer 1 | Epoch 70  |
|          4260 |    43614.1445 | Layer 1 | Epoch 70  |
