agnelli,4831
fields,2170
disabled,7371
alaskan,6738
leaping,9729
define,9655
ab,3920
viewed,3139
were,46
aug.,2023
enemy,8047
uncomfortable,9530
marina,3611
anti-nuclear,9599
coleman,4092
phased,7608
wood,3141
pacific,691
facilities,1189
economics,2795
sweet,5847
privatized,9290
liked,9733
hasbro,9009
plant,402
agents,2159
revisions,6197
bottling,7895
oversees,5188
engelken,2662
washington,514
guterman,9982
see,378
mobil,2935
determination,7365
colombia,5336
eddie,6876
residence,7106
solo,7149
cup,4666
spent,1153
ninth,9206
aga,8593
thieves,6676
night,1068
chunk,4865
designs,4460
hiroshima,6068
massacre,5452
supervisors,6660
cope,4657
ltv,2675
restricts,9351
functions,4477
patel,7599
heights,6061
mixte,1738
mengistu,8232
cambridge,5321
fixed,1425
personal-computer,8295
committees,3256
roughly,1599
sheets,5006
iafp,9034
tag,9475
process,797
soviet,383
upjohn,4816
mandate,7538
school,722
modernization,9171
insolvent,5429
failures,3593
gallery,5406
strokes,9456
i,68
cleanup,3804
orderly,9760
editorial,2479
surfaced,5248
motivated,9184
experience,1530
infected,4923
ed,6875
negative,1332
exclude,5386
transport,3334
technical,1600
images,5691
fractionally,8970
quota,7086
craft,7971
improved,1300
treat,4049
actual,1169
brother,4085
other,61
allowed,1140
bulk,2720
penney,5191
fresh,2610
midsized,7022
carolinas,8723
underwriting,4392
cook,7965
rescue,3221
alley,7254
pearce,7059
minivans,8239
gestures,8107
quality,1196
watched,3435
inflated,6962
tires,6241
bartlett,3154
therefore,3908
approve,2425
downgrading,9672
feat,9688
espn,8915
underwrite,6694
insists,3714
honesty,9027
store,1365
charging,2991
driving,3009
savaiko,6205
intends,2222
belli,7882
programs,560
remarks,3121
quotations,3516
rorer,7680
host,3020
communication,4445
restructure,3752
firmed,6425
tesoro,9489
proposes,6176
studies,1979
anger,5583
affiliates,3662
painted,7053
permitted,3207
van,2892
jerome,9079
reiterated,7665
decreased,7989
heavier,8130
picking,4534
universal,4393
formula,3969
traders,280
collaboration,7940
occurred,2868
elephant,9938
arrogant,8625
perform,4761
shareholders,590
arose,8623
aftershocks,5283
external,6030
inherent,6963
modest,1451
plane,3621
commissioners,8761
customs,5634
banned,3668
sandinista,5821
calling,2374
summary,8441
sullivan,4044
advancing,4223
loyal,3723
peters,1209
looks,2137
lists,3289
cigarette,4241
purchase,498
300-day,6278
mayer,7542
cincinnati,3253
pressures,2819
statistical,5542
elizabeth,5112
24-hour,9584
participating,4337
believes,1094
nbi,5468
sources,1535
deprived,7999
economies,3371
loose,3854
nikkei,2622
among,211
deaths,2786
essential,3588
anniversary,5900
deciding,4103
no.,1659
generale,6049
reich,9330
venture-capital,7218
downturn,2528
slowed,3530
soften,9429
utilities,1726
cleared,3161
understands,7206
kids,3095
bushel,5320
devaluation,6387
affecting,3785
hammond,7462
slew,9424
placed,1686
artist,3664
broaden,8693
increasingly,1553
educate,9674
largest,413
stayed,5242
zealand,3142
house-senate,3707
meanwhile,669
private,549
pitney,8305
unfriendly,7782
jetliner,9080
up,52
shipbuilding,6633
b.,1809
developed,1250
elliott,8895
1930s,6721
boiler,6323
helicopter,6062
closer,2476
shelters,6631
campaign,875
sentiment,3323
several,249
trespass,9519
eagle,3370
availability,5592
lbos,6994
overseas,1060
urge,4595
jal,6973
wider,4600
tale,5849
consensus,2721
professionals,3623
stephen,1897
relating,5212
dislike,8012
trafficking,9510
coca-cola,2904
interview,1224
vietnamese,6261
showroom,9914
filing,963
admission,5890
walk,3656
seymour,8400
lsi,9129
spinoff,3897
vax,8515
steelworkers,7729
great,591
copying,6366
dollar,332
favors,5392
inadequate,5145
denominations,5647
bill,260
retreating,9352
editions,8885
reveals,9805
i.,4130
merchandise,2447
buffett,6790
automotive,1604
mirror,5735
welch,8541
suddenly,3539
health-care,2219
airline,763
carl,3159
consumer,580
bribery,6788
arteries,7863
two,75
models,1911
arrange,7861
airbus,8597
corsica,8796
courthouse,7969
swaps,7171
hanging,8123
crystal,7348
lasts,9098
layer,8202
loan,501
theirs,6674
benson,4233
committee,372
inability,8152
strongest,4197
taping,9480
historical,4489
wyoming,7824
locations,4937
refined,9325
vendors,9547
picket,9255
ruled,2411
applying,7263
laurence,8200
grand,1426
vetoed,7799
unused,8505
subsidizing,9460
lows,5170
mania,9135
army,2119
sunday,2511
poughkeepsie,9272
upscale,4395
lucrative,3994
direct,1187
republics,9342
equivalents,8056
suspended,1949
contrary,5086
seizures,9393
restored,4178
robbed,9366
unrest,7211
exhausted,8063
medication,9148
combined,1541
gamble,3088
warehouses,9851
unnecessary,5565
control,350
frame,6914
walked,7806
reality,3747
holt,9713
chevrolet,4240
depended,9658
individuals,1329
showtime,3227
steer,9448
robot,8373
frequency,8973
skepticism,7143
amount,541
N,3
resistance,2274
notes,373
whiskey,8545
seizure,9392
dismiss,8013
buying,360
propaganda,8333
house-passed,8144
eagerness,8036
musicians,9191
homefed,5142
figured,5395
portfolio,683
physical,4340
courses,6368
redemption,3875
humana,5419
set,388
spectacular,7152
defendant,4880
continues,1049
stewart,5840
pennsylvania,2357
will,33
longer-term,7002
unlike,1725
ann,6742
banc,4628
surprisingly,3540
painfully,9236
persistent,4962
absorbed,6726
solicitation,5835
drives,2060
elite,8894
seem,1055
risc,7677
va.,3550
buy-out,588
natural-gas,9198
baskets,3795
multiples,5741
happened,2130
narrowed,4330
campus,7908
affect,1952
pie,7615
based,304
compaq,2655
discussion,4463
jim,2809
senators,2013
divergence,9667
final,1106
devastating,5651
gary,3185
permission,3035
suffering,4378
avery,4076
blow,3568
insider-trading,9058
misses,9168
embassy,5113
detail,4674
calculations,3935
very,253
children,1026
arnold,5068
territory,5257
retains,5517
reminder,7102
developing-country,8844
procurement,8330
acknowledge,7245
handy,6455
commonwealth,2995
finnish,4703
forum,8967
finished,1819
envy,8907
medical,766
snack-food,9996
istat,9072
olympic,9759
boat,5916
technicians,6671
norwegian,8268
robust,3883
crossed,7975
sci,1801
widening,7813
pollution,2945
find,677
messages,6121
japanese,173
seattle,4790
suit,636
pitches,7617
nebraska,7031
termination,9837
saab-scania,7686
spielvogel,3638
attended,3665
flagship,5400
paul,1557
impending,5422
jeff,6090
andreas,8611
dropped,556
holmes,6071
clients,764
throwing,5259
fee,3594
stupid,6658
whom,1728
sutton,6231
qualified,7083
optical,4007
newsprint,5470
bonn,6780
lives,2136
tight,3134
blanket,8662
exceed,2604
principals,7077
taxed,9482
activists,3143
brothers,997
volatility,932
fruit,4709
programmers,9967
soup,5237
lazard,7517
sentence,4186
mcgraw-hill,5454
opera,7583
spirits,2825
remain,707
afghanistan,5582
usually,1031
threatened,2575
tax-exempt,4584
leventhal,8206
sigh,9822
postpone,6166
activist,6728
damaging,6377
unauthorized,7203
artists,5069
gang,8980
discounted,5370
negligible,9752
w.,1835
hydro-quebec,9983
earthquake,426
prospectus,6177
possibly,2405
ft-se,7441
joined,2028
shv,9915
fellow,2481
barber,7877
epicenter,5660
debacle,5984
toseland,7190
shadow,5005
beleaguered,8654
breed,6786
blunt,8667
bakker,8642
various,1186
disks,6002
airing,5894
repairs,4989
inevitable,6961
recommends,6590
libya,9732
shifts,9406
salary,3888
proclaimed,8329
